name,taxon_code
Swainson's Thrush,swathr
Townsend's Solitaire,towsol
Townsend's Warbler,towwar
Tree Swallow,treswa
Tricolored Blackbird,tribla
Trumpeter Swan,truswa
Tufted Puffin,tufpuf
Tundra Swan,tunswa
Turkey Vulture,turvul
Varied Thrush,varthr
Vaux's Swift,vauswi
Vesper Sparrow,vesspa
Violet-green Swallow,vigswa
Virginia Rail,virrai
Wandering Tattler,wantat1
Warbling Vireo,warvir
Western Bluebird,wesblu
Western Flycatcher,wesfly
Western Grebe,wesgre
Western Gull,wesgul
Western Kingbird,weskin
Western Meadowlark,wesmea
Western Sandpiper,wessan
Western Screech-Owl,wesowl1
Western Tanager,westan
Western Wood-Pewee,wewpew
Whimbrel,whimbr
White-breasted Nuthatch,whbnut
White-crowned Sparrow,whcspa
White-headed Woodpecker,whhwoo
White-tailed Ptarmigan,whtpta1
White-throated Sparrow,whtspa
White-throated Swift,whtswi
Wild Turkey,wiltur
Willet,willet1
Willow Flycatcher,wilfly
Wilson's Snipe,wilsni1
Wilson's Warbler,wlswar
Wood Duck,wooduc
Yellow Warbler,yelwar
Yellow-headed Blackbird,yehbla
Yellow-rumped Warbler,yerwar
